Hisse,Kapanis,Karar,Guc,OyOrani,LogisticRegression_yon,LogisticRegression_guven,LogisticRegression_cv_acc,KNN_yon,KNN_guven,KNN_cv_acc,DecisionTree_yon,DecisionTree_guven,DecisionTree_cv_acc,XGBoost_yon,XGBoost_guven,XGBoost_cv_acc,LightGBM_yon,LightGBM_guven,LightGBM_cv_acc
AKBNK,63.900001525878906,🟡 UP,2,60.0,1,54.1,49.6,1,53.3,50.2,0,75.6,50.9,0,50.1,48.9,1,57.6,48.4
ARCLK,86.30000305175781,🟢 STRONG UP,3,100.0,0,54.8,49.3,0,66.7,47.9,1,77.8,52.0,1,59.9,50.3,1,53.2,49.2
ASELS,364.0,🟢 STRONG UP,3,100.0,1,60.6,51.0,1,53.3,53.1,1,56.2,54.0,1,57.2,50.4,1,51.5,51.1
BIMAS,404.5,🔴 STRONG DOWN,3,0.0,1,54.1,49.0,1,53.3,49.2,0,69.8,48.6,0,52.0,52.9,0,51.2,51.3
DOHOL,20.280000686645508,🟢 STRONG UP,3,80.0,0,58.9,49.2,1,53.3,51.1,1,55.6,51.3,1,60.3,50.9,1,65.7,50.8
EKGYO,18.030000686645508,🟢 STRONG UP,3,100.0,1,61.3,47.5,1,80.0,47.4,1,60.3,52.6,1,55.2,48.0,1,80.0,46.3
EREGL,34.7400016784668,🔴 STRONG DOWN,3,0.0,1,55.3,51.0,0,53.3,52.2,0,50.1,49.8,1,52.9,50.4,1,64.6,51.4
FROTO,73.80000305175781,🟢 STRONG UP,3,100.0,1,51.0,49.6,1,60.0,50.2,1,85.0,48.5,1,67.5,49.5,1,66.7,49.7
GARAN,120.0999984741211,🔴 STRONG DOWN,3,20.0,0,52.2,49.7,0,80.0,50.8,0,76.2,49.0,0,53.1,49.2,1,52.5,47.8
GUBRF,415.0,🟡 DOWN,2,40.0,1,52.0,49.2,0,60.0,51.3,1,70.7,48.1,0,57.7,49.1,0,65.5,47.7
HALKB,45.58000183105469,🔴 STRONG DOWN,3,0.0,1,50.6,49.7,1,53.3,47.9,0,69.6,51.0,0,53.8,52.7,0,54.6,49.9
ISCTR,12.09000015258789,🟡 UP,2,66.7,1,64.5,52.0,1,80.0,50.1,1,55.8,53.8,1,57.1,50.7,0,50.7,53.1
KCHOL,203.6999969482422,🟢 STRONG UP,3,80.0,0,54.8,51.1,1,60.0,49.3,1,63.3,49.8,1,50.0,50.5,1,54.1,50.3
KRDMD,40.599998474121094,🟢 STRONG UP,3,100.0,1,50.4,50.7,1,66.7,50.5,1,58.0,47.8,1,66.6,49.7,1,62.3,51.9
MGROS,496.75,🟢 STRONG UP,3,100.0,1,52.2,49.3,1,80.0,49.7,0,50.5,50.7,1,61.5,52.6,1,51.7,52.5
ODAS,6.789999961853027,🔴 STRONG DOWN,3,0.0,0,63.1,49.5,1,53.3,51.7,1,52.0,49.1,0,54.0,51.5,0,56.1,52.7
PETKM,20.600000381469727,🔴 STRONG DOWN,3,0.0,1,50.1,51.9,0,53.3,52.3,0,63.0,53.8,0,66.7,52.3,0,59.7,52.1
PGSUS,141.8000030517578,🟢 STRONG UP,3,80.0,0,59.0,50.2,1,60.0,51.1,1,81.5,51.1,1,64.5,51.6,1,69.1,50.3
SAHOL,84.0999984741211,🟢 STRONG UP,3,100.0,1,52.5,49.1,1,66.7,49.7,1,75.0,50.8,1,61.5,49.5,1,72.7,49.7
SASA,2.5199999809265137,🟡 UP,2,66.7,0,64.5,51.4,1,66.7,52.1,0,55.5,52.9,1,57.2,52.6,0,55.7,51.5
SISE,38.15999984741211,🟢 STRONG UP,3,100.0,1,64.0,54.0,1,66.7,50.5,1,52.7,51.4,1,62.2,52.8,1,77.0,51.5
SOKM,56.099998474121094,🟡 DOWN,2,40.0,1,50.6,49.6,1,60.0,51.1,0,50.9,50.4,0,51.2,50.4,0,50.1,47.9
TAVHL,248.6999969482422,🟡 DOWN,2,40.0,1,51.8,48.4,0,53.3,47.3,1,57.4,47.2,0,53.7,46.6,0,50.4,49.6
TCELL,94.80000305175781,⚪ NEUTRAL,1,50.0,1,55.5,49.0,1,66.7,50.8,0,53.6,50.4,0,51.4,52.9,1,66.8,53.5
THYAO,270.0,🟢 STRONG UP,3,100.0,1,66.4,54.6,1,73.3,51.6,1,85.2,53.9,1,67.4,52.2,1,83.6,53.7
TKFEN,226.8000030517578,🟢 STRONG UP,3,100.0,1,57.7,47.5,1,66.7,49.0,1,51.6,48.6,1,61.3,46.8,1,50.7,47.2
TOASO,270.5,🟢 STRONG UP,3,100.0,1,52.6,51.7,1,66.7,46.3,1,51.0,48.3,1,53.4,51.4,1,61.3,50.9
TUPRS,396.75,🟡 DOWN,2,40.0,0,63.1,51.7,1,60.0,49.9,0,58.9,51.1,1,58.7,51.1,0,56.6,51.7
